id,publisher_id,title,url,format,last_modified,period
a41ee09a-2c39-46c8-9a6a-acb8676fc7c0,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A33%3A09.754Z/spending-2011-03.pdf,PDF,,
56fcebd0-0f90-4073-9661-840bd1728d27,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A33%3A31.920Z/spending-2011-03.xml,XML,,
16df52a5-36c9-4d1f-a0aa-89c02cb2a5e6,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A33%3A58.606Z/spending-2011-04.csv,CSV,,
1e470c69-5d88-47f8-ad47-396f7bd8b41b,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A34%3A20.680Z/spending-2011-04.pdf,PDF,,
81ae2f3f-3ce8-4f91-8af0-0fd4fb03fcf7,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A34%3A54.636Z/spending-2011-04.xml,XML,,
54600e99-8e0f-466d-b2dc-71fd78b70a97,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A35%3A25.001Z/spending-2011-05.csv,CSV,,
f6962ecd-5137-4dc9-a792-4b1d3bd5ace8,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A35%3A45.204Z/spending-2011-05.pdf,PDF,,
070eb1f5-16f8-4662-aedb-c1b0c162ba0e,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A36%3A09.800Z/spending-2011-05.xml,XML,,
4c9ef518-3ea1-4090-94b3-8f389de9511b,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A37%3A00.771Z/spending-2011-06.csv,CSV,,
df96172a-bcd1-4c71-802a-750d38b2051a,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A37%3A27.633Z/spending-2011-06.pdf,PDF,,
6b80ed3a-f173-4d0a-89cd-35f512dc2699,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A37%3A48.921Z/spending-2011-06.xml,XML,,
7f756bab-05a1-4090-bd2d-61a51bdd6c10,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A38%3A15.140Z/spending-2011-07.csv,CSV,,
7a7d27c9-d164-4df8-b625-1787c783457d,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A39%3A40.295Z/spending-2011-07.pdf,PDF,,
e05d89ad-b5fd-4f56-9208-d7df0597536a,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A40%3A06.814Z/spending-2011-07.xml,XML,,
96423873-0a94-4272-9ce3-01feaefb5d7e,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A40%3A58.665Z/spending-2011-08.csv,CSV,,
002d216e-2c9c-42c4-a569-495883a543b3,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A41%3A39.330Z/spending-2011-08.pdf,PDF,,
332fbfb7-09ac-41cc-b8a2-bc916f062070,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A42%3A02.101Z/spending-2011-08.xml,XML,,
8c7e02f3-d0df-4c66-865d-eed56a7c63b7,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A42%3A38.691Z/spending-2011-09.csv,CSV,,
3d63be7d-b939-4af8-9b17-2aba2414d24c,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A43%3A01.153Z/spending-2011-09.pdf,PDF,,
f148545c-9ea5-4d6d-9fd2-a0be5912d775,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A43%3A21.893Z/spending-2011-09.xml,XML,,
fc9db939-df61-4bb3-8f86-b01072133a68,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A43%3A51.313Z/spending-2011-10.csv,CSV,,
40013495-afc0-4659-b452-51372231d121,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A44%3A13.693Z/spending-2011-10.pdf,PDF,,
5965ffca-5055-4480-923c-399d6a61a40b,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A45%3A32.409Z/spending-2011-10.xml,XML,,
46f45d8f-bded-481f-bcff-7f0266ecf8d6,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A46%3A01.019Z/spending-2011-11.csv,CSV,,
43c5d056-f204-4efb-b4dd-dda69484ea0c,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A46%3A27.028Z/spending-2011-11.pdf,PDF,,
c85ea7d0-28fd-4e72-9fdd-c3fe8e5f8f7c,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A46%3A51.517Z/spending-2011-11.xml,XML,,
1b4bbee5-8576-491d-9f43-aae7ccc1cce5,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A47%3A23.017Z/spending-2011-12.csv,CSV,,
0a8ac6f9-0ba1-4092-8b55-030600ea6871,leeds-city-council,Council spending / Expenditure over £500 ,http://www.leedsdatamill.org/storage/f/2014-05-16T14%3A47%3A51.042Z/spending-2011-12.pdf,PDF,,
